"title","rental_rate"
"Ali Forever","4.99"
"Apache Divine","4.99"
"Lady Stage","4.99"
"Lambs Cincinatti","4.99"
"Lawless Vision","4.99"
"League Hellfighters","4.99"
"Dogma Family","4.99"
"Candles Grapes","4.99"
"Legally Secretary","4.99"
"Liaisons Sweet","4.99"
"Doors President","4.99"
"Dorado Notting","4.99"
"Lies Treatment","4.99"
"Doubtfire Labyrinth","4.99"
"Dozen Lion","4.99"
"Lola Agent","4.99"
"Dragonfly Strangers","4.99"
"Caribbean Liberty","4.99"
"Drifter Commandments","4.99"
"Loser Hustler","4.99"
"Apocalypse Flamingos","4.99"
"Driving Polish","4.99"
"Drop Waterfront","4.99"
"Casablanca Super","4.99"
"Dude Blindness","4.99"
"Durham Panky","4.99"
"Casper Dragonfly","4.99"
"Eagles Panky","4.99"
"Madigan Dorado","4.99"
"Early Home","4.99"
"Easy Gladiator","4.99"
"Edge Kissing","4.99"
"Airport Pollock","4.99"
"Maiden Home","4.99"
"Element Freddy","4.99"
"Maltese Hope","4.99"
"Elephant Trojan","4.99"
"Elf Murder","4.99"
"Elizabeth Shane","4.99"
"Massacre Usual","4.99"
"Enemy Odds","4.99"
"Matrix Snowman","4.99"
"Cat Coneheads","4.99"
"Memento Zoolander","4.99"
"Bright Encounters","4.99"
"Mermaid Insects","4.99"
"Eve Resurrection","4.99"
"Center Dinosaur","4.99"
"Expecations Natural","4.99"
"Midsummer Groundhog","4.99"
"Champion Flatliners","4.99"
"Million Ace","4.99"
"Minds Truman","4.99"
"Mine Titans","4.99"
"Beast Hunchback","4.99"
"Mission Zoolander","4.99"
"Beauty Grease","4.99"
"Mod Secretary","4.99"
"Model Fish","4.99"
"Falcon Volume","4.99"
"Monsoon Cause","4.99"
"Amelie Hellfighters","4.99"
"Moonshine Cabin","4.99"
"Moonwalker Fool","4.99"
"Movie Shakespeare","4.99"
"Behavior Runaway","4.99"
"Muppet Mile","4.99"
"American Circus","4.99"
"Fellowship Autumn","4.99"
"Musketeers Wait","4.99"
"Chasing Fight","4.99"
"Name Detective","4.99"
"Fever Empire","4.99"
"Fiddler Lost","4.99"
"Fidelity Devil","4.99"
"Chamber Italian","4.99"
"Nightmare Chill","4.99"
"Fire Wolves","4.99"
"North Tequila","4.99"
"Chicago North","4.99"
"Nuts Ties","4.99"
"October Submarine","4.99"
"Open African","4.99"
"Flamingos Connecticut","4.99"
"Opposite Necklace","4.99"
"Opus Ice","4.99"
"Flash Wars","4.99"
"Chinatown Gladiator","4.99"
"Flight Lies","4.99"
"Flintstones Happiness","4.99"
"Outlaw Hanky","4.99"
"Chisum Behavior","4.99"
"Panic Club","4.99"
"Panky Submarine","4.99"
"Panther Reds","4.99"
"Betrayed Rear","4.99"
"Fool Mockingbird","4.99"
"Park Citizen","4.99"
"Dying Maker","4.99"
"Past Suicides","4.99"
"Paths Control","4.99"
"Bikini Borrowers","4.99"
"Forrester Comancheros","4.99"
"Paycheck Wait","4.99"
"Cincinatti Whisperer","4.99"
"Peak Forever","4.99"
"Bilko Anonymous","4.99"
"Pelican Comforts","4.99"
"Perdition Fargo","4.99"
"Freddy Storm","4.99"
"French Holiday","4.99"
"Philadelphia Wife","4.99"
"Clerks Angels","4.99"
"Frisco Forrest","4.99"
"Pinocchio Simon","4.99"
"Pittsburgh Hunchback","4.99"
"Pity Bound","4.99"
"Frontier Cabin","4.99"
"Platoon Instinct","4.99"
"Pluto Oleander","4.99"
"Fugitive Maguire","4.99"
"Ace Goldfinger","4.99"
"Poseidon Forever","4.99"
"Galaxy Sweethearts","4.99"
"Games Bowfinger","4.99"
"Prejudice Oleander","4.99"
"President Bang","4.99"
"Closer Bang","4.99"
"Private Drop","4.99"
"Garden Island","4.99"
"Clue Grail","4.99"
"Attacks Hate","4.99"
"Punk Divorce","4.99"
"Ghost Groundhog","4.99"
"Birch Antitrust","4.99"
"Queen Luke","4.99"
"Gladiator Westward","4.99"
"Quills Bull","4.99"
"Coldblooded Darling","4.99"
"Rage Games","4.99"
"Raging Airplane","4.99"
"Rainbow Shock","4.99"
"Bird Independence","4.99"
"Range Moonwalker","4.99"
"Coma Head","4.99"
"Records Zorro","4.99"
"Gold River","4.99"
"Reds Pocus","4.99"
"Birds Perdition","4.99"
"Goodfellas Salute","4.99"
"Requiem Tycoon","4.99"
"Command Darling","4.99"
"Gosford Donnie","4.99"
"Right Cranes","4.99"
"Road Roxanne","4.99"
"Graceland Dynamite","4.99"
"Rocky War","4.99"
"Commandments Express","4.99"
"Roses Treasure","4.99"
"Rules Human","4.99"
"Coneheads Smoochy","4.99"
"Sabrina Midnight","4.99"
"Confessions Maguire","4.99"
"Confidential Interview","4.99"
"Grinch Massage","4.99"
"Groundhog Uncut","4.99"
"Gump Date","4.99"
"Attraction Newton","4.99"
"Satisfaction Confidential","4.99"
"Saturday Lambs","4.99"
"Saturn Name","4.99"
"Scalawag Duck","4.99"
"Scarface Bang","4.99"
"School Jacket","4.99"
"Guys Falcon","4.99"
"Connecticut Tramp","4.99"
"Scorpion Apollo","4.99"
"Hall Cassidy","4.99"
"Conquerer Nuts","4.99"
"Autumn Crow","4.99"
"Seattle Expecations","4.99"
"Secret Groundhog","4.99"
"Secretary Rouge","4.99"
"Secrets Paradise","4.99"
"Sense Greek","4.99"
"Sensibility Rear","4.99"
"Seven Swarm","4.99"
"Blindness Gun","4.99"
"Hanging Deep","4.99"
"Control Anthem","4.99"
"Shawshank Bubble","4.99"
"Hanover Galaxy","4.99"
"Show Lord","4.99"
"Conversation Downhill","4.99"
"Baby Hall","4.99"
"Silverado Goldfinger","4.99"
"Harry Idaho","4.99"
"Sister Freddy","4.99"
"Haunted Antitrust","4.99"
"Slacker Liaisons","4.99"
"Sleeping Suspects","4.99"
"Sleepless Monsoon","4.99"
"Head Stranger","4.99"
"Heartbreakers Bright","4.99"
"Snatch Slipper","4.99"
"Boiled Dares","4.99"
"Soldiers Evolution","4.99"
"Something Duck","4.99"
"Heavenly Gun","4.99"
"Heavyweights Beast","4.99"
"Spartacus Cheaper","4.99"
"Boogie Amelie","4.99"
"Speed Suit","4.99"
"Spice Sorority","4.99"
"Creepers Kane","4.99"
"Crossing Divorce","4.99"
"Born Spinal","4.99"
"Holes Brannigan","4.99"
"Holiday Games","4.99"
"Stagecoach Armageddon","4.99"
"Hollow Jeopardy","4.99"
"Home Pity","4.99"
"Steel Santa","4.99"
"Steers Armageddon","4.99"
"Stepmom Dream","4.99"
"Sting Personal","4.99"
"Crowds Telemark","4.99"
"Stranger Strangers","4.99"
"Strangers Graffiti","4.99"
"Streetcar Intentions","4.99"
"Bowfinger Gables","4.99"
"Submarine Bed","4.99"
"Sugar Wonka","4.99"
"Suicides Silence","4.99"
"Suit Walls","4.99"
"Sunrise League","4.99"
"Super Wyoming","4.99"
"Brannigan Sunrise","4.99"
"Sweden Shining","4.99"
"Backlash Undefeated","4.99"
"Breakfast Goldfinger","4.99"
"Hotel Happiness","4.99"
"Teen Apollo","4.99"
"Telegraph Voyage","4.99"
"Daddy Pittsburgh","4.99"
"Temple Attraction","4.99"
"Tequila Past","4.99"
"Terminator Club","4.99"
"Thief Pelican","4.99"
"Thin Sagebrush","4.99"
"Ties Hunger","4.99"
"Titanic Boondock","4.99"
"Titans Jerk","4.99"
"Daisy Menagerie","4.99"
"Torque Bound","4.99"
"Tourist Pelican","4.99"
"Hunchback Impossible","4.99"
"Trading Pinocchio","4.99"
"Traffic Hobbit","4.99"
"Train Bunch","4.99"
"Trainspotting Strangers","4.99"
"Trap Guys","4.99"
"Trip Newton","4.99"
"Dangerous Uptown","4.99"
"Airplane Sierra","4.99"
"Truman Crazy","4.99"
"Grosse Wonderful","4.99"
"Hustler Party","4.99"
"Twisted Pirates","4.99"
"Tycoon Gathering","4.99"
"Darko Dorado","4.99"
"Undefeated Dalmations","4.99"
"Hysterical Grail","4.99"
"Darling Breaking","4.99"
"Darn Forrester","4.99"
"Igby Maker","4.99"
"Usual Untouchables","4.99"
"Daughter Madigan","4.99"
"Vampire Whale","4.99"
"Vanilla Day","4.99"
"Impossible Prejudice","4.99"
"Inch Jet","4.99"
"Velvet Terminator","4.99"
"Informer Double","4.99"
"Videotape Arsenic","4.99"
"Villain Desperate","4.99"
"Virgin Daisy","4.99"
"Virtual Spoilers","4.99"
"Volume House","4.99"
"Innocent Usual","4.99"
"Wake Jaws","4.99"
"Walls Artist","4.99"
"Wanda Chamber","4.99"
"War Notting","4.99"
"Dawn Pond","4.99"
"Day Unfaithful","4.99"
"Dazed Punk","4.99"
"Wash Heavenly","4.99"
"Interview Liaisons","4.99"
"Waterfront Deliverance","4.99"
"Intolerable Intentions","4.99"
"Werewolf Lola","4.99"
"West Lion","4.99"
"Whale Bikini","4.99"
"Whisperer Giant","4.99"
"Wife Turn","4.99"
"Deep Crusade","4.99"
"Iron Moon","4.99"
"Witches Panic","4.99"
"Wizard Coldblooded","4.99"
"Ishtar Rocketeer","4.99"
"Brooklyn Desert","4.99"
"Wonderland Christmas","4.99"
"Italian African","4.99"
"Desert Poseidon","4.99"
"Bubble Grosse","4.99"
"Working Microcosmos","4.99"
"Desperate Trainspotting","4.99"
"Destiny Saturday","4.99"
"Wyoming Storm","4.99"
"Yentl Idaho","4.99"
"Details Packer","4.99"
"Zorro Ark","4.99"
"Devil Desire","4.99"
"Bucket Brotherhood","4.99"
"Casualties Encino","4.99"
"Jersey Sassy","4.99"
"Jet Neighbors","4.99"
"Jingle Sagebrush","4.99"
"Anthem Luke","4.99"
"Aladdin Calendar","4.99"
"Calendar Gunfight","4.99"
"King Evolution","4.99"
"Kiss Glory","4.99"
"Kissing Dolls","4.99"
"California Birds","4.99"
"Network Peak","2.99"
"Adaptation Holes","2.99"
"Affair Prejudice","2.99"
"African Egg","2.99"
"Agent Truman","2.99"
"Alabama Devil","2.99"
"Alien Center","2.99"
"Alley Evolution","2.99"
"Amistad Midsummer","2.99"
"Analyze Hoosiers","2.99"
"Angels Life","2.99"
"Antitrust Tomatoes","2.99"
"Anything Savannah","2.99"
"Apollo Teen","2.99"
"Arachnophobia Rollercoaster","2.99"
"Arizona Bang","2.99"
"Artist Coldblooded","2.99"
"Atlantis Cause","2.99"
"Badman Dawn","2.99"
"Baked Cleopatra","2.99"
"Balloon Homeward","2.99"
"Bang Kwai","2.99"
"Barbarella Streetcar","2.99"
"Barefoot Manchurian","2.99"
"Basic Easy","2.99"
"Beach Heartbreakers","2.99"
"Bear Graceland","2.99"
"Bed Highball","2.99"
"Berets Agent","2.99"
"Beverly Outlaw","2.99"
"Bill Others","2.99"
"Bingo Talented","2.99"
"Blackout Private","2.99"
"Blanket Beverly","2.99"
"Blues Instinct","2.99"
"Braveheart Human","2.99"
"Breaking Home","2.99"
"Bringing Hysterical","2.99"
"Bugsy Song","2.99"
"Bulworth Commandments","2.99"
"Bunch Minds","2.99"
"Campus Remember","2.99"
"Candidate Perdition","2.99"
"Carol Texas","2.99"
"Cassidy Wyoming","2.99"
"Cause Date","2.99"
"Chance Resurrection","2.99"
"Clash Freddy","2.99"
"Chaplin License","2.99"
"Charade Duffel","2.99"
"Chariots Conspiracy","2.99"
"Chitty Lock","2.99"
"Chocolate Duck","2.99"
"Cider Desire","2.99"
"Circus Youth","2.99"
"Clones Pinocchio","2.99"
"Clueless Bucket","2.99"
"Core Suit","2.99"
"Color Philadelphia","2.99"
"Comforts Rush","2.99"
"Confused Candles","2.99"
"Conspiracy Spirit","2.99"
"Contact Anonymous","2.99"
"Cowboy Doom","2.99"
"Cranes Reservoir","2.99"
"Crazy Home","2.99"
"Crossroads Casualties","2.99"
"Crusade Honey","2.99"
"Crystal Breaking","2.99"
"Cupboard Sinners","2.99"
"Cyclone Family","2.99"
"Dares Pluto","2.99"
"Darkness War","2.99"
"Deer Virginian","2.99"
"Desire Alien","2.99"
"Diary Panic","2.99"
"Dinosaur Secretary","2.99"
"Dirty Ace","2.99"
"Disturbing Scarface","2.99"
"Divide Monster","2.99"
"Divine Resurrection","2.99"
"Divorce Shining","2.99"
"Doctor Grail","2.99"
"Dolls Rage","2.99"
"Dream Pickup","2.99"
"Driver Annie","2.99"
"Duck Racer","2.99"
"Dwarfs Alter","2.99"
"Egg Igby","2.99"
"Enough Raging","2.99"
"Escape Metropolis","2.99"
"Exorcist Sting","2.99"
"Express Lonely","2.99"
"Extraordinary Conquerer","2.99"
"Eyes Driving","2.99"
"Fantasia Park","2.99"
"Fargo Gandhi","2.99"
"Fatal Haunted","2.99"
"Ferris Mother","2.99"
"Fish Opus","2.99"
"Flatliners Killer","2.99"
"Floats Garden","2.99"
"Flying Hook","2.99"
"Forever Candidate","2.99"
"Forrest Sons","2.99"
"Forward Temple","2.99"
"Freaky Pocus","2.99"
"Frida Slipper","2.99"
"Full Flatliners","2.99"
"Gangs Pride","2.99"
"Gaslight Crusade","2.99"
"Gentlemen Stage","2.99"
"Giant Troopers","2.99"
"Gleaming Jawbreaker","2.99"
"Glory Tracy","2.99"
"Godfather Diary","2.99"
"Gone Trouble","2.99"
"Gorgeous Bingo","2.99"
"Graduate Lord","2.99"
"Grail Frankenstein","2.99"
"Greatest North","2.99"
"Greek Everyone","2.99"
"Gunfighter Mussolini","2.99"
"Half Outfield","2.99"
"Halloween Nuts","2.99"
"Hamlet Wisdom","2.99"
"Identity Lover","2.99"
"Hanky October","2.99"
"Happiness United","2.99"
"Hardly Robbers","2.99"
"Heaven Freedom","2.99"
"Hedwig Alter","2.99"
"Hellfighters Sierra","2.99"
"High Encino","2.99"
"Hocus Frida","2.99"
"Homicide Peach","2.99"
"Idols Snatchers","2.99"
"Hoosiers Birdcage","2.99"
"Hope Tootsie","2.99"
"Horn Working","2.99"
"House Dynamite","2.99"
"Human Graffiti","2.99"
"Hunter Alter","2.99"
"Hunting Musketeers","2.99"
"Hurricane Affair","2.99"
"Hyde Doctor","2.99"
"Ice Crossing","2.99"
"Idaho Love","2.99"
"Image Princess","2.99"
"Insider Arizona","2.99"
"Instinct Airport","2.99"
"Intentions Empire","2.99"
"Invasion Cyclone","2.99"
"Island Exorcist","2.99"
"Jacket Frisco","2.99"
"Jade Bunch","2.99"
"Jason Trap","2.99"
"Jaws Harry","2.99"
"Jeepers Wedding","2.99"
"Jekyll Frogmen","2.99"
"Jericho Mulan","2.99"
"Jerk Paycheck","2.99"
"Jumanji Blade","2.99"
"Kentuckian Giant","2.99"
"Killer Innocent","2.99"
"Knock Warlock","2.99"
"Kramer Chocolate","2.99"
"Labyrinth League","2.99"
"Leathernecks Dwarfs","2.99"
"Lebowski Soldiers","2.99"
"Liberty Magnificent","2.99"
"License Weekend","2.99"
"Life Twisted","2.99"
"Lock Rear","2.99"
"Lolita World","2.99"
"Lonely Elephant","2.99"
"Lord Arizona","2.99"
"Lost Bird","2.99"
"Lovely Jingle","2.99"
"Lover Truman","2.99"
"Luck Opus","2.99"
"Lucky Flying","2.99"
"Luke Mummy","2.99"
"Mask Peach","2.99"
"Lust Lock","2.99"
"Madison Trap","2.99"
"Madre Gables","2.99"
"Magnificent Chitty","2.99"
"Maguire Apache","2.99"
"Malkovich Pet","2.99"
"Manchurian Curtain","2.99"
"Mannequin Worst","2.99"
"Married Go","2.99"
"Massage Image","2.99"
"Meet Chocolate","2.99"
"Menagerie Rushmore","2.99"
"Metal Armageddon","2.99"
"Metropolis Coma","2.99"
"Microcosmos Paradise","2.99"
"Mighty Luck","2.99"
"Miracle Virtual","2.99"
"Mixed Doors","2.99"
"Money Harold","2.99"
"Monster Spartacus","2.99"
"Mulholland Beast","2.99"
"Murder Antitrust","2.99"
"Muscle Bright","2.99"
"Mussolini Spoilers","2.99"
"Nash Chocolat","2.99"
"National Story","2.99"
"Nemo Campus","2.99"
"Noon Papi","2.99"
"Northwest Polish","2.99"
"Operation Operation","2.99"
"Order Betrayed","2.99"
"Orient Closer","2.99"
"Oscar Gold","2.99"
"Others Soup","2.99"
"Oz Liaisons","2.99"
"Paradise Sabrina","2.99"
"Paris Weekend","2.99"
"Party Knock","2.99"
"Patriot Roman","2.99"
"Patton Interview","2.99"
"Peach Innocent","2.99"
"Pearl Destiny","2.99"
"Perfect Groove","2.99"
"Phantom Glory","2.99"
"Pickup Driving","2.99"
"Pilot Hoosiers","2.99"
"Pizza Jumanji","2.99"
"Pollock Deliverance","2.99"
"Pond Seattle","2.99"
"Potluck Mixed","2.99"
"Potter Connecticut","2.99"
"Princess Giant","2.99"
"Prix Undefeated","2.99"
"Psycho Shrunk","2.99"
"Pulp Beverly","2.99"
"Pure Runner","2.99"
"Purple Movie","2.99"
"Quest Mussolini","2.99"
"Racer Egg","2.99"
"Random Go","2.99"
"Reap Unfaithful","2.99"
"Redemption Comforts","2.99"
"Reign Gentlemen","2.99"
"Remember Diary","2.99"
"Reservoir Adaptation","2.99"
"Rider Caddyshack","2.99"
"Robbers Joon","2.99"
"Rollercoaster Bringing","2.99"
"Rushmore Mermaid","2.99"
"Saddle Antitrust","2.99"
"Sagebrush Clueless","2.99"
"Saints Bride","2.99"
"Salute Apollo","2.99"
"Samurai Lion","2.99"
"Santa Paris","2.99"
"Scissorhands Slums","2.99"
"Ship Wonderland","2.99"
"Sea Virgin","2.99"
"Seabiscuit Punk","2.99"
"Searchers Wait","2.99"
"Shakespeare Saddle","2.99"
"Shane Darkness","2.99"
"Shanghai Tycoon","2.99"
"Shock Cabin","2.99"
"Shrek License","2.99"
"Shrunk Divine","2.99"
"Sinners Atlantis","2.99"
"Sky Miracle","2.99"
"Sleepy Japanese","2.99"
"Smile Earring","2.99"
"Snatchers Montezuma","2.99"
"Sons Interview","2.99"
"South Wait","2.99"
"Speakeasy Date","2.99"
"Spiking Element","2.99"
"Spinal Rocky","2.99"
"Spy Mile","2.99"
"Squad Fish","2.99"
"Stage World","2.99"
"Star Operation","2.99"
"State Wasteland","2.99"
"Stock Glass","2.99"
"Strictly Scarface","2.99"
"Suspects Quills","2.99"
"Sweet Brotherhood","2.99"
"Tadpole Park","2.99"
"Tarzan Videotape","2.99"
"Telemark Heartbreakers","2.99"
"Tomorrow Hustler","2.99"
"Town Ark","2.99"
"Trojan Tomorrow","2.99"
"Trouble Date","2.99"
"Turn Star","2.99"
"Tuxedo Mile","2.99"
"Uncut Suicides","2.99"
"Unfaithful Kill","2.99"
"Untouchables Sunrise","2.99"
"Uprising Uptown","2.99"
"Uptown Young","2.99"
"Vacation Boondock","2.99"
"Vanishing Rocky","2.99"
"Varsity Trip","2.99"
"Vertigo Northwest","2.99"
"Wagon Jaws","2.99"
"Wardrobe Phantom","2.99"
"Warlock Werewolf","2.99"
"Wars Pluto","2.99"
"Wasteland Divine","2.99"
"Weekend Personal","2.99"
"Willow Tracy","2.99"
"Window Side","2.99"
"Won Dares","2.99"
"Wonderful Drop","2.99"
"Wonka Sea","2.99"
"Words Hunter","2.99"
"Worker Tarzan","2.99"
"Worst Banger","2.99"
"Wrong Behavior","2.99"
"Zoolander Fiction","2.99"
